"filename", "language", "JavaScript", "JSON", "XML", "Django HTML", "CSS", "PHP", "Pug", "Less", "SCSS", "comment", "blank", "total"
"d:\Websites\Krish Sataisya - Portfolio\@secure-krish\143258769020.html", "Django HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Websites\Krish Sataisya - Portfolio\@secure-krish\231005.html", "Django HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Websites\Krish Sataisya - Portfolio\@temp\login-form-main\index.html", "Django HTML", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 42, 249
"d:\Websites\Krish Sataisya - Portfolio\Games\Archry\index.html", "Django HTML", 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 30, 329
"d:\Websites\Krish Sataisya - Portfolio\Games\Cube\index.html", "Django HTML", 0, 0, 0, 1011, 0, 0, 0, 0, 0, 0, 2, 1013
"d:\Websites\Krish Sataisya - Portfolio\Games\Cube\script.js", "JavaScript", 2611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1469, 4080
"d:\Websites\Krish Sataisya - Portfolio\Games\Cube\style.css", "CSS", 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 8, 345
"d:\Websites\Krish Sataisya - Portfolio\Pages\Graphics Design.html", "Django HTML", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 33, 310
"d:\Websites\Krish Sataisya - Portfolio\Pages\Projects.html", "Django HTML", 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 32, 396
"d:\Websites\Krish Sataisya - Portfolio\Pages\krishsatasiya.html", "Django HTML", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 33, 315
"d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\index.html", "Django HTML", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 5, 176
"d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\script.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\style.css", "CSS", 0, 0, 0, 0, 1108, 0, 0, 0, 0, 72, 316, 1496
"d:\Websites\Krish Sataisya - Portfolio\Projects\404\index.html", "Django HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
"d:\Websites\Krish Sataisya - Portfolio\Projects\404\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Websites\Krish Sataisya - Portfolio\Projects\404\style.css", "CSS", 0, 0, 0, 0, 242, 0, 0, 0, 0, 13, 42, 297
"d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\Color Inditiy.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\index.html", "Django HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\periodic-table-data.json", "JSON", 0, 5040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5040
"d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\script.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 203
"d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\style.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 11, 65
"d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\index.html", "Django HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\script.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 133
"d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\style.css", "CSS", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 67
"d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\celender.html", "Django HTML", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 24, 206
"d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\script.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 161
"d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\style.css", "CSS", 0, 0, 0, 0, 988, 0, 0, 0, 0, 254, 233, 1475
"d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\index.html", "Django HTML", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 32, 152
"d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\math.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7
"d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\script.js", "JavaScript", 1178, 0, 0, 0, 0, 0, 0, 0, 0, 372, 704, 2254
"d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\style.css", "CSS", 0, 0, 0, 0, 519, 0, 0, 0, 0, 2, 94, 615
"d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\index.html", "Django HTML", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 4, 84
"d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\script.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\style.css", "CSS", 0, 0, 0, 0, 176, 0, 0, 0, 0, 6, 21, 203
"d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\index.html", "Django HTML", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\script.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 75
"d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\style.css", "CSS", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 21, 113
